Complaint,Risk Code,Risk Description,Impact Score,Urgency Score,Frequency Score,Controllability Score,Priority Score,Priority Level
Major construction work underway next door as part of hotel expansion Room on 2 levels with very steep staircase which made going to the toilet in the night a very dangerous experience After complaining they did agree to move us to room on one level Food in restaurant leaves a lot to be desired for anyone wishing to have food anything except medium rare Despite friendly staff will not be returning cannot recommend,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
The first room had steep steps to a loft bed Not practical and dangerous for someone 68 especially if he has to go to the bathroom in the night Second night had a room on one level,ER-03,Guest Expectation Mismatch,5,4,2,5,8.0,P4 - Low
The bathroom has cristal walls and it is not comfortable at all The room size was also pretty small,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
Our suite on the 3 floor was beautiful but our mattress probably old was slumping in the middle The staff could not provide a board to put under to make it better and at the time there was no other suite available though smaller rooms were offered For the price you would have expected at least a comfortable bed,FR-05,Price-Value Perception Gap,5,4,4,5,16.0,P4 - Low
Overpriced breakfast Bed too soft Bath had no shelf to leave bottles etc on Building works impact on overall good impression,OR-01,Luxury Service Degradation,4,3,4,4,12.0,P4 - Low
We were upgraded which was lovely but the heating didn t work and the room was cleaned once in 3 days We had to ask for more towels We ordered two burgers which were disgusting and the meat smelled bad after 3 mouthfuls my friend was sick,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
The bathrooms only had smoked glass walls which did not provide as much privacy as we are used to The lighting in the halls was too dim,ER-03,Guest Expectation Mismatch,5,3,5,5,15.0,P4 - Low
Two storey room with narrow winding stairs Wet room d cor and functionality Lack of storage space,SR-02,Luxury Feature Gaps,4,3,4,5,9.6,P4 - Low
There was a staircase in our room between the bed and the bathroom This means the bathroom is very spacious and lovely but can be a bit of a pain in the middle of the night,ER-03,Guest Expectation Mismatch,3,3,3,5,5.4,P4 - Low
the club sandwiches cold bacon with congealed fat and processed chicken Very poor,OR-01,Luxury Service Degradation,5,4,3,5,12.0,P4 - Low
We didn t like our first room the stairs in the duplex were very steep and narrow,ER-03,Guest Expectation Mismatch,4,3,4,4,12.0,P4 - Low
The fact I had to leave,OR-02,Guest Process Failures,4,4,3,5,9.6,P4 - Low
The d cor but hotel is currently being extended I expect the d cor will be updated when this is finished,ER-03,Guest Expectation Mismatch,3,2,3,5,3.6,P4 - Low
Stairs in our room were too narrow and steep No where did it say hotel was undergoing extensive building work and room looked out onto main busy road,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
The hotel is currently under going renovations and while this wasnt a major problem work did start early on Mon morning,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
More sofas needed in the bar better breakfast options water pressure in the shower was rubbish really noisy on the road no difference between open or closed Windows soft closing doors are needed room was way too hot and unable to turn the heat down No mention of the building work going on,OR-01,Luxury Service Degradation,5,5,5,5,25.0,P3 - Medium
Room 240 should be discontinued It is really too small and only upsets your Customers Breakfast okay but choices a little limited compared to others You could add seeds more fruit etc at very little extra cost,FR-05,Price-Value Perception Gap,5,4,5,5,20.0,P3 - Medium
Could hear music being played by the people in the next door room late at night,ER-03,Guest Expectation Mismatch,4,4,3,4,12.0,P4 - Low
The cleanness was quite poor A lot of dust under the bed under the furniture on top of the bed side lamps the remote control and even the plastic glasses in the bathroom were dirty Also something went wrong with the pipes of the shower a horrible smell came out at night,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
I hate when the beds are two separate beds pushed together That may just be a European thing or maybe I got the reservation wrong either way I would still go back to this hotel,ER-03,Guest Expectation Mismatch,2,2,3,5,2.4,P4 - Low
The hotel looked abit tired lots of scratches and market on the walls the floors in the room looked a little dirty and our room smelt very bad of dirty drains so bad we actually moved rooms,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
The room we were given originally wasn t very clean there was a problem with the floor which was unsafe they said they didn t have time to get this fixed before my stay which I thought was poor No bath in room even though I requested one on booking,OR-01,Luxury Service Degradation,5,5,3,5,15.0,P4 - Low
Radiator in bedroom needed bleeding but really not a problem,OR-05,Amenity Logistics Failures,1,2,2,5,0.8,P4 - Low
Room could have done with a microwave our room had a small leak in the walls from where the rain would come through,OR-01,Luxury Service Degradation,5,5,2,5,10.0,P4 - Low
The hotel was incorrectly informed about my room type booking Building work within the grounds worth mentioning but is not is noisy or obtrusive,ER-03,Guest Expectation Mismatch,5,5,2,5,10.0,P4 - Low
The shower was slightly faulty but we told the staff and they will be giving us some money back The room could ve been slightly cleaner in places and the refurbishments going on meant that the hotel was surrounded by construction works But very good value for money,ER-03,Guest Expectation Mismatch,3,3,4,4,9.0,P4 - Low
Breakfast was crazy expensive Location required about a 10 minute walk to the nearest subway Construction is underway for a massive expansion project so there was some noise during the day,FR-05,Price-Value Perception Gap,5,4,5,4,25.0,P3 - Medium
the change over of staff at the check in too many different faces over 3 days must of been greeted and welcomed by 8 different members of staff just at the reception desk that the rooms were not depicted on the site as they were when we arrived the room was stunning but would of liked to have seen that when booking,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
The bathroom door was hanging off the light fitting fell off from above the bed there were marks on the wall and ceiling where flys had been squashed against it but not washed off afterwards,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
We didn t have a bad experience,ER-03,Guest Expectation Mismatch,5,3,3,5,9.0,P4 - Low
Breakfast not included in the price and whilst it was good we feel it was on the expensive side Split level room that we had wasn t in our view very practical although others may like it,ER-03,Guest Expectation Mismatch,5,3,4,5,12.0,P4 - Low
They charged all our bank cards at the beginning of our stay and the money is then returned if you pay by a different means Unfortunately they charged 2 of us twice and we are still waiting for the money to be returned a week later Just spoilt it for us as we have been chasing our money back,FR-02,Guest Transaction Issues,4,4,3,5,9.6,P4 - Low
The shower has no curtain whatsoever so the water just spills over the whole bathroom,ER-03,Guest Expectation Mismatch,5,5,2,5,10.0,P4 - Low
The location unfortunately were a bit far from the center 20 min by tramp,ER-03,Guest Expectation Mismatch,4,3,4,1,48.0,P2 - High
